Avg_Hosp,Facility ID,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation
835.0,160033,13,3,4,1016.0,855.0,0.0418,0.050300000000000004,0.0395
5.0,60103,6,1,3,6.0,7.0,0.0002,0.0003,0.0003
0.0,110111,11,1,3,6.0,7.0,0.0,0.0003,0.0003
0.0,420107,40,2,4,0.0,0.0,0.0,0.0,0.0
1096.0,450825,43,3,5,2979.0,3228.0,0.0602,0.1276,0.1491
3.0,50334,5,1,3,4.0,7.0,0.0002,0.0002,0.0003
6.0,50780,5,1,5,3.0,2.0,0.0002,0.0001,0.0001
25.0,380005,37,3,6,76.0,89.0,0.0013,0.0037,0.0040999999999999995
0.0,140177,15,2,5,0.0,0.0,0.0,0.0,0.0
0.0,340015,27,2,5,0.0,0.0,0.0,0.0,0.0
3723.0,70025,7,3,5,4136.0,3228.0,0.1558,0.1907,0.1491
809.0,360091,35,3,1,796.0,825.0,0.0406,0.0363,0.0381
1014.0,360081,35,3,1,796.0,825.0,0.0501,0.0363,0.0381
6.0,330115,34,1,4,105.0,152.0,0.0004,0.0049,0.006999999999999999
580.0,450194,43,1,7,661.0,585.0,0.0292,0.028300000000000002,0.027000000000000003
3672.0,250001,25,3,3,2831.0,2857.0,0.1465,0.1353,0.132
5440.0,50320,5,3,5,3762.0,3228.0,0.2481,0.16870000000000002,0.1491
17.0,230085,22,1,1,11.0,13.0,0.0012,0.0005,0.0006
61.0,390036,38,3,6,86.0,89.0,0.0028000000000000004,0.004,0.0040999999999999995
41.0,30092,4,1,4,152.0,152.0,0.0019,0.0069,0.006999999999999999
0.0,50714,5,2,6,17.0,19.0,0.0,0.0007000000000000001,0.0009
1434.0,50441,5,3,4,769.0,855.0,0.053899999999999997,0.0345,0.0395
0.0,390179,38,2,5,0.0,0.0,0.0,0.0,0.0
3365.0,450079,43,3,5,2979.0,3228.0,0.1558,0.1276,0.1491
38.0,490019,45,3,6,81.0,89.0,0.002,0.0039000000000000003,0.0040999999999999995
9.0,240187,23,2,6,14.0,19.0,0.0006,0.0007000000000000001,0.0009
990.0,450539,43,3,1,879.0,825.0,0.049800000000000004,0.0377,0.0381
0.0,230036,22,2,2,0.0,0.0,0.0,0.0,0.0
0.0,440227,42,1,2,0.0,1.0,0.0,0.0,0.0
2313.0,360098,35,3,3,2833.0,2857.0,0.1103,0.1291,0.132
1267.0,50228,5,2,7,1651.0,1545.0,0.0621,0.07400000000000001,0.07139999999999999
0.0,50008,5,2,4,0.0,0.0,0.0,0.0,0.0
10.0,390006,38,1,6,7.0,8.0,0.0004,0.0003,0.0004
6.0,270051,26,1,3,7.0,7.0,0.0003,0.0003,0.0003
31.0,50040,5,1,4,93.0,152.0,0.0019,0.0042,0.006999999999999999
3473.0,50204,5,3,3,2641.0,2857.0,0.15839999999999999,0.1184,0.132
0.0,430008,41,1,2,0.0,1.0,0.0,0.0,0.0
28.0,140012,15,2,6,20.0,19.0,0.0017000000000000001,0.0009,0.0009
439.0,190245,19,3,7,1092.0,1174.0,0.023700000000000002,0.048600000000000004,0.0542
17927.0,160079,13,4,8,20179.0,21646.0,1.0,1.0,1.0
0.0,260227,24,2,2,0.0,0.0,0.0,0.0,0.0
960.0,520189,48,3,7,870.0,1174.0,0.0506,0.0421,0.0542
0.0,240100,23,2,2,0.0,0.0,0.0,0.0,0.0
680.0,190176,19,1,7,575.0,585.0,0.0294,0.0256,0.027000000000000003
379.0,450888,43,1,7,661.0,585.0,0.015300000000000001,0.028300000000000002,0.027000000000000003
27.0,450688,43,2,6,23.0,19.0,0.0011,0.001,0.0009
10630.0,50717,5,2,3,10415.0,10139.0,0.5179,0.4669,0.46840000000000004
0.0,360348,35,1,2,0.0,1.0,0.0,0.0,0.0
0.0,10062,2,2,1,0.0,0.0,0.0,0.0,0.0
4835.0,100034,10,3,3,2949.0,2857.0,0.1999,0.1341,0.132
208.0,50124,5,3,2,156.0,149.0,0.0098,0.006999999999999999,0.0069
6.0,110200,11,1,1,12.0,13.0,0.0002,0.0006,0.0006
5.0,90001,8,1,6,8.0,8.0,0.0002,0.0004,0.0004
0.0,340147,27,2,5,0.0,0.0,0.0,0.0,0.0
0.0,50708,5,2,5,0.0,0.0,0.0,0.0,0.0
17761.0,140234,15,4,8,21780.0,21646.0,1.0,1.0,1.0
778.0,100226,10,3,4,672.0,855.0,0.032,0.030600000000000002,0.0395
13.0,450670,43,2,6,23.0,19.0,0.0005,0.001,0.0009
36.0,10052,2,1,4,108.0,152.0,0.0028000000000000004,0.0052,0.006999999999999999
269.0,130063,14,3,5,2752.0,3228.0,0.0115,0.1294,0.1491
1498.0,520057,48,3,3,2185.0,2857.0,0.0947,0.1058,0.132
0.0,340016,27,2,1,0.0,0.0,0.0,0.0,0.0
851.0,60126,6,3,7,1055.0,1174.0,0.0378,0.0471,0.0542
0.0,450833,43,2,5,0.0,0.0,0.0,0.0,0.0
1.0,390111,38,1,5,2.0,2.0,0.0,0.0001,0.0001
965.0,340145,27,3,7,1000.0,1174.0,0.051500000000000004,0.048600000000000004,0.0542
1074.0,440001,42,3,1,789.0,825.0,0.056100000000000004,0.0359,0.0381
4.0,330221,34,1,6,7.0,8.0,0.0002,0.0003,0.0004
0.0,190079,19,1,2,1.0,1.0,0.0,0.0,0.0
502.0,100243,10,3,4,672.0,855.0,0.024900000000000002,0.030600000000000002,0.0395
3.0,330385,34,1,5,3.0,2.0,0.0002,0.0001,0.0001
0.0,70007,7,2,4,0.0,0.0,0.0,0.0,0.0
4.0,260193,24,1,6,8.0,8.0,0.0002,0.0004,0.0004
10.0,250057,25,1,1,17.0,13.0,0.0005,0.0008,0.0006
2404.0,10001,2,3,5,2630.0,3228.0,0.1048,0.1266,0.1491
3205.0,340039,27,3,5,2937.0,3228.0,0.17300000000000001,0.1427,0.1491
917.0,320006,32,3,4,903.0,855.0,0.0481,0.0443,0.0395
11.0,340016,27,2,6,23.0,19.0,0.0005,0.0011,0.0009
2.0,360230,35,1,5,2.0,2.0,0.0001,0.0001,0.0001
0.0,310052,31,2,1,0.0,0.0,0.0,0.0,0.0
